計罰,總額預定,逾期,id,Target
0,0,0,254,punitive
1,0,41,255,compensatory
0,0,41,256,punitive
0,3,29,257,punitive
0,2,31,258,compensatory
0,0,0,259,punitive
2,0,99,260,punitive
0,0,0,261,punitive
0,0,12,262,punitive
0,0,15,263,punitive
0,0,19,264,punitive
0,0,1,265,punitive
11,0,149,266,compensatory
0,0,0,267,compensatory
0,0,34,268,punitive
0,0,22,269,compensatory
0,0,0,270,punitive
0,0,1,271,punitive
0,0,2,272,punitive
0,0,3,273,punitive
8,0,33,274,compensatory
0,0,0,275,punitive
2,0,18,276,compensatory
0,0,38,277,punitive
3,0,0,278,punitive
0,0,29,279,punitive
0,0,4,280,punitive
0,0,2,281,compensatory
0,1,23,282,punitive
0,0,30,283,punitive
1,0,15,284,compensatory
8,0,40,285,punitive
0,0,21,286,compensatory
1,0,0,287,compensatory
0,0,20,288,compensatory
0,0,0,289,punitive
11,2,34,290,compensatory
0,0,1,291,compensatory
0,0,1,292,punitive
2,0,1,293,punitive
13,0,57,294,punitive
2,0,17,295,punitive
0,0,0,296,compensatory
0,0,0,297,notdefine
3,0,1,298,punitive
0,0,2,299,punitive
2,1,19,300,compensatory
1,0,3,301,punitive
0,0,1,302,punitive
2,0,15,303,punitive
0,0,1,304,compensatory
0,1,40,305,punitive
0,0,2,306,notdefine
1,0,1,307,punitive
0,0,1,308,compensatory
0,0,1,309,compensatory
0,2,0,310,punitive
0,1,27,311,punitive
8,0,45,312,compensatory
0,1,61,313,punitive
1,1,13,314,punitive
0,0,9,315,punitive
6,0,2,316,punitive
