id,上訴,被告,契約,工程,原告,系爭,本院,請求,條第,給付,公司,施工,部分,萬元,品質計畫書,品質成果報告書,計罰,扣法,總額預定,非賠償總額預定
241,206,0,83,73,0,148,18,46,24,39,40,24,40,3,0,0,4,0,0,0
242,259,0,25,230,0,201,67,62,13,121,217,27,79,130,0,0,0,0,1,0
243,4,38,165,193,48,129,21,77,59,49,432,36,18,15,0,0,12,0,0,0
244,497,0,129,227,0,157,20,32,43,21,3,112,57,1,0,0,0,0,0,0
245,111,0,47,118,2,61,20,13,16,20,106,4,12,12,0,0,0,0,0,0
246,4,170,132,180,216,191,5,52,27,70,2,72,60,26,0,0,0,0,0,0
247,4,80,25,40,37,27,16,12,8,11,22,31,4,1,0,0,1,0,0,0
248,4,70,21,44,99,70,26,22,33,12,17,4,3,0,0,0,0,0,0,0
249,27,0,107,124,0,92,26,42,37,39,124,45,52,5,0,0,0,0,0,0
250,4,158,24,87,167,71,10,33,7,23,14,93,34,0,0,0,0,0,5,0
251,4,140,42,171,200,67,63,77,17,41,22,54,34,25,0,0,0,0,0,0
252,4,149,194,166,216,115,56,116,87,100,11,49,65,13,0,0,0,0,0,0
253,236,0,91,89,0,186,24,51,60,42,2,37,23,20,0,0,0,0,1,0
254,4,20,73,309,22,4,40,66,59,59,216,27,28,1,0,0,0,0,0,0
255,507,0,135,245,0,227,12,91,91,97,69,29,43,64,0,0,1,0,0,0
256,189,0,57,47,1,134,11,49,31,21,35,11,24,1,0,0,0,0,0,0
257,122,0,46,72,0,58,22,14,8,17,18,4,18,6,0,0,0,0,3,0
258,4,243,84,481,298,186,15,60,14,103,48,48,62,1,0,0,0,0,2,0
259,10,216,116,48,168,7,26,36,38,20,22,0,9,61,0,0,0,0,0,0
260,4,68,25,131,70,0,31,14,7,21,2,1,11,1,0,0,2,0,0,0
261,4,133,54,42,135,79,18,40,5,14,185,16,14,0,0,0,0,0,0,0
262,129,0,34,74,0,52,8,45,15,31,3,4,33,0,0,0,0,0,0,0
263,23,0,94,63,0,95,28,19,33,31,142,2,56,7,0,0,0,0,0,0
264,27,0,52,117,0,162,31,92,54,59,270,134,106,9,0,0,0,0,0,0
265,25,1,156,388,1,180,59,104,39,88,680,32,127,46,0,0,0,0,0,0
266,404,0,72,130,0,109,44,38,35,38,8,75,105,5,5,0,11,0,0,0
267,50,0,38,109,0,132,34,20,9,31,94,10,36,4,0,0,0,0,0,0
268,4,70,63,92,128,75,45,23,26,19,6,28,36,0,0,0,0,0,0,0
269,4,108,37,113,150,90,38,14,7,20,34,23,31,20,0,0,0,0,0,0
270,28,1,47,112,2,145,27,25,9,28,106,6,37,5,0,0,0,0,0,0
271,7,126,17,78,145,81,30,30,10,36,21,2,36,1,0,0,0,0,0,0
272,82,0,22,106,1,30,14,12,5,20,79,14,13,5,0,0,0,0,0,0
273,141,6,30,133,0,68,10,34,7,13,55,3,6,15,0,0,0,0,0,0
274,358,0,208,266,0,166,30,29,38,32,15,52,100,2,0,0,8,0,0,0
275,4,85,86,144,90,69,15,18,13,24,39,0,22,0,0,0,0,0,0,0
276,24,0,95,339,0,303,38,51,9,59,541,32,150,69,0,0,2,0,0,0
277,42,1,132,299,1,111,26,35,53,30,264,49,66,1,0,0,0,0,0,0
278,177,0,73,76,1,83,19,45,35,27,12,16,63,0,0,0,3,0,0,0
279,31,0,111,141,1,136,10,65,30,69,288,39,78,3,0,0,0,0,0,0
280,5,48,30,48,56,50,15,21,7,14,15,8,10,18,0,0,0,0,0,0
281,8,140,32,286,0,4,16,1,30,1,221,118,67,11,1,0,0,0,0,0
282,4,139,63,52,109,87,31,27,16,6,1,4,28,21,0,0,0,0,1,0
283,163,0,28,59,1,60,8,9,7,23,5,1,2,4,0,0,0,0,0,0
284,4,137,73,164,200,75,78,65,37,31,16,60,48,3,0,0,1,0,0,0
285,135,0,22,71,0,26,17,14,9,19,17,24,22,2,0,0,8,0,0,0
286,4,249,195,296,93,203,91,82,73,57,201,61,45,33,0,0,0,0,0,0
287,5,92,51,27,277,183,35,64,37,54,128,0,35,115,0,0,1,0,0,0
288,384,0,115,219,0,108,55,62,27,50,17,35,85,37,0,0,0,0,0,0
289,4,221,145,149,163,120,40,61,27,41,18,35,58,9,0,0,0,0,0,0
290,267,0,82,176,0,99,26,24,32,26,19,93,60,7,0,0,11,0,2,0
291,235,0,184,76,0,124,30,33,59,13,13,60,27,6,0,0,0,0,0,0
292,80,0,17,37,0,49,14,10,6,8,16,48,0,0,0,0,0,0,0,0
293,122,0,66,47,0,75,26,17,29,14,28,1,14,16,0,0,2,0,0,0
294,145,0,19,57,0,25,19,8,24,8,3,37,56,2,0,0,13,0,0,0
295,219,0,67,133,0,57,10,42,40,37,28,17,18,33,0,0,2,0,0,0
296,16,115,40,629,123,3,114,163,37,174,747,83,363,167,0,0,0,0,0,0
297,55,2679,158,203,0,1,134,16,219,14,719,40,335,200,0,0,0,0,0,0
298,4,88,64,62,75,69,29,20,23,43,1,15,8,2,0,0,3,0,0,0
299,32,59,40,56,63,34,20,11,29,31,25,6,12,2,0,0,0,0,0,0
300,165,0,104,103,0,143,32,35,29,31,9,77,44,7,0,0,2,0,1,0
301,277,2,53,8,4,181,22,44,12,72,21,1,66,35,0,0,1,0,0,0
302,161,0,22,57,0,51,22,20,6,15,5,16,27,4,0,0,0,0,0,0
303,4,112,96,125,130,90,47,41,46,41,5,8,43,1,0,0,2,0,0,0
304,4,203,234,306,360,101,48,55,44,53,115,165,51,8,0,0,0,0,0,0
305,4,112,65,182,152,98,37,64,31,37,121,14,19,11,0,0,0,0,1,0
306,15,285,32,622,0,12,33,1,54,57,209,68,208,36,0,0,0,0,0,0
307,4,76,119,119,99,122,40,36,25,25,4,9,31,4,0,0,1,0,0,0
308,248,0,89,66,0,61,14,28,21,4,28,55,23,4,0,0,0,0,0,0
309,310,0,147,83,0,119,15,9,61,6,4,95,12,6,1,0,0,0,0,0
310,241,0,143,20,0,266,34,24,41,21,166,0,15,12,0,0,0,0,2,0
311,4,117,59,124,131,81,38,51,21,62,6,24,22,53,0,0,0,0,1,0
312,63,2,109,106,2,124,54,21,49,51,191,24,48,1,0,0,8,0,0,0
313,131,0,76,84,0,95,12,29,15,23,12,8,25,4,0,0,0,0,1,0
314,40,0,90,147,0,108,52,37,14,57,259,4,40,42,0,0,1,0,1,0
315,1035,0,227,85,0,166,83,87,100,87,76,24,93,59,0,0,0,0,0,0
316,197,0,12,60,0,46,23,16,20,15,12,7,23,8,0,0,6,0,0,0
